age,income,contacts,spend
37.47608618006285,10467.904580476392,1,2.2394563414988164
67.43714393331564,12549.134137280456,2,0.0
56.063684974193066,26753.202241760908,6,0.0
49.1302411782459,12247.331271448553,3,0.0
26.1129693030067,38419.374384536815,2,0.0
26.111715057482538,21256.964345912642,6,0.0
21.02034783274637,22989.603063030398,3,0.0
63.04115958029663,19164.473705305976,1,0.0
49.257980610646854,32416.535264654583,3,0.0
54.81977404539437,32584.10735012824,4,0.0
19.070393703381725,26043.595841908962,5,0.0
68.4353123124237,29213.743722567262,5,0.0
61.28701732162193,19810.258033808313,1,0.0
29.04163375527036,28885.687333660688,2,0.0
27.454898294769233,18602.683291180714,7,0.0
27.537034512378558,22051.056886375092,3,0.0
33.82059663389596,19200.24129369498,3,0.0
45.287334444876365,17525.12299855076,2,0.0
40.461140969390016,15606.520725699533,2,0.0
33.14391529029818,27829.309752466554,2,0.0
49.816350525563735,42416.93434476087,4,0.0
25.253680753906174,39559.09804616437,6,0.0
33.19152172383134,11751.27861590939,10,0.0
37.05081585127197,41965.432627241826,3,4.009885081608314
41.71563917928587,18787.006179491247,3,0.0
58.829149992436705,29743.518080062717,2,0.0
28.383036672234706,14001.11619980012,2,0.0
44.74019079750781,23646.962660407804,6,0.0
48.8055575808262,25767.301707933166,1,0.0
20.41542146143988,10484.964987541498,4,0.0
49.592332298874794,29855.775469543394,6,0.0
26.86725443173916,43172.86724672066,2,1.774257547612108
21.382682835234533,20184.616364954967,3,0.0
67.34204793717333,43481.205464007006,1,0.0
68.21286571987709,20033.341775754554,5,3.186003567293425
60.03666210205598,33684.472905574105,1,0.0
33.839915997015275,7264.211361818434,3,0.0
23.078949928331962,73820.28886359495,3,0.0
53.58011737863216,46524.25751861515,4,0.0
40.88792967445927,19104.65397322385,2,0.0
24.3459882119285,8216.959151314837,2,0.0
43.74919932578605,25438.37613264354,4,0.0
19.788203097991357,10700.408812149917,0,0.0
65.28466090809667,27513.354082254093,3,4.236273341517604
31.45655904320088,27059.214131031946,3,0.0
52.45115878640706,13756.936044378312,7,0.0
34.20897595664937,38579.77721454858,3,0.0
45.04353710124616,32951.344765457405,2,0.0
46.42893452585054,35879.15153671126,2,0.0
27.61243168732741,22124.23408908501,1,0.0
68.41840064375705,10853.446589486255,1,0.0
58.30690681477796,35915.927394617625,3,0.0
66.85394496133783,19241.30021025787,2,0.0
64.53102222223774,10994.05475007008,3,2.8562211103726987
49.09079889817643,43304.83986802059,6,0.0
65.93746022120207,62925.31086585681,2,0.0
22.601610106699816,21576.843005693718,3,0.0
28.19110884579555,64832.38832495837,2,0.0
20.35181902334798,23055.44772472089,3,0.0
34.917177199689746,18210.83540646614,1,0.0
38.211219063853065,16070.985349011182,1,0.0
32.11014965224258,49938.18422273149,1,2.061765088936863
61.09435047590033,14912.097262058805,1,0.0
36.55117298806664,31813.13885532459,3,0.0
32.6085945037438,16654.206105760648,6,0.0
46.22019632422892,17498.083134011053,5,0.0
25.328059698687657,36868.94390187121,3,2.3131480274477982
59.714242999210065,18214.651503255416,3,0.0
21.876633471348082,17990.557399016496,4,0.0
69.3181207032269,38808.80172964985,2,0.0
58.15672800342619,48957.04924155142,3,1.3244554255524743
28.333215439776964,30404.469561669805,5,0.0
18.287150090427325,15876.814432463065,6,0.0
60.40399427965138,17063.479388715125,1,0.0
54.75658188007609,22924.411631587565,4,0.0
55.90837273813134,25860.3201135336,3,0.0
58.10605802766918,13441.027269921029,4,0.0
21.850321890172697,31619.173433220632,2,0.0
36.640217884302174,22988.66770057425,5,0.0
24.025191095306745,9340.787483533852,1,0.0
62.88137814553086,13843.02478012591,4,0.0
50.411502595033014,17118.85322916033,5,0.0
35.20669729233776,21238.506460462515,1,0.0
21.305034214873228,56649.554239663485,1,0.0
34.17108072921444,24812.073616737704,4,0.0
34.90953274539085,14466.83482282897,1,0.0
55.93952127357933,24595.4169607036,4,1.838139575416059
